"","Correlation","Protein"
"NTHL1",0.179314586394232,"NTHL1"
"HEBP1",0.703378859446048,"HEBP1"
"HMOX1",0.631156193684908,"HMOX1"
"SYMPK",0.0756008828032841,"SYMPK"
"CPLX2",0.660321960109345,"CPLX2"
"TRIM29",0.650544620568795,"TRIM29"
"MPP2",0.337980769230769,"MPP2"
"CIT",0.243174637693772,"CIT"
"SNRNP200",0.175699924629261,"SNRNP200"
"PRXL2A",0.525679369978027,"PRXL2A"
"MTR",-0.125094651492193,"MTR"
"SFSWAP",0.267614148020395,"SFSWAP"
"PDXP",0.655337594036611,"PDXP"
"ABL2",0.321428571428571,"ABL2"
"PTPRN2",0.187099910866218,"PTPRN2"
"UMPS",0.434926126442833,"UMPS"
"HCLS1",0.768259850243372,"HCLS1"
"BAZ2A",0.00904241290156148,"BAZ2A"
"NAA10",0.14191241431277,"NAA10"
"PNMA8A",0.438836898395722,"PNMA8A"
"ZNF706",0.476695935266487,"ZNF706"
"UAP1L1",0.524313998049173,"UAP1L1"
"WASL",0.302487891062875,"WASL"
"UBE2O",0.558857282515389,"UBE2O"
"RBM33",0.452194329491128,"RBM33"
"SPTAN1",0.40643274320248,"SPTAN1"
"GCN1",0.424059899373292,"GCN1"
"RPL14",0.261517395686682,"RPL14"
"ARHGEF2",0.692447364121643,"ARHGEF2"
"FHOD1",0.471235334839322,"FHOD1"
"PKP2",0.753436189456216,"PKP2"
"ALDH16A1",0.482064961193491,"ALDH16A1"
"POLR1A",0.22689051747015,"POLR1A"
"RHPN2",0.574509803921569,"RHPN2"
"ACE",0.457429931253305,"ACE"
"DNAJC3",0.682152814697923,"DNAJC3"
"GDF15",0.468709423313308,"GDF15"
"ADGRL2",0.564373761831389,"ADGRL2"
"HUWE1",0.423461725303127,"HUWE1"
"TFAP2B",0.571428571428571,"TFAP2B"
"PTPN23",0.382646793041166,"PTPN23"
"KIF2A",0.663971185863901,"KIF2A"
"DCTPP1",0.49065546931284,"DCTPP1"
"NUDT2",0.380457444247409,"NUDT2"
"RPS25",0.274140288166656,"RPS25"
"POLR1B",0.191241146003879,"POLR1B"
"DST",0.376924463074532,"DST"
"PAK4",0.458107675993971,"PAK4"
"ZNF106",0.222881139857518,"ZNF106"
"PPP5C",0.520657833666525,"PPP5C"
"KIAA0319L",0.414828715442874,"KIAA0319L"
"DIMT1",0.337206727048215,"DIMT1"
"PRKDC",0.44840921860561,"PRKDC"
"AIFM1",0.568295992109914,"AIFM1"
"EIF4G1",0.205035959671208,"EIF4G1"
"PPP2R5C",0.315799536682928,"PPP2R5C"
"LRP1",0.605469825796856,"LRP1"
"COPS2",0.141663066803208,"COPS2"
"GIGYF2",0.317985100303679,"GIGYF2"
"HADHB",0.532326395029043,"HADHB"
"ISCA1",0.376318906516664,"ISCA1"
"LXN",0.608414669484278,"LXN"
"TUBB6",0.461574142520158,"TUBB6"
"CRMP1",0.85316689850583,"CRMP1"
"DPYSL5",0.787034090404018,"DPYSL5"
"NSD1",-0.112483912483912,"NSD1"
"WFS1",0.721732821228534,"WFS1"
"ALDH18A1",0.509532236535816,"ALDH18A1"
"CDC23",0.022073734855484,"CDC23"
"RHOF",0.479169989018312,"RHOF"
"NAA40",0.305173970414612,"NAA40"
"IMMT",0.232647431338865,"IMMT"
"CTNNB1",0.132613674007769,"CTNNB1"
"TRMT2A",0.495461910983518,"TRMT2A"
"JUP",0.786504347922752,"JUP"
"ANXA1",0.76099954582358,"ANXA1"
"TBCD",0.398414085532472,"TBCD"
"AGT",0.624355005159959,"AGT"
"ABCF1",0.549527763339628,"ABCF1"
"TMOD3",0.682148638123616,"TMOD3"
"ACAA2",0.797162824300321,"ACAA2"
"LSAMP",0.608999738602095,"LSAMP"
"PSMA2",0.115204821636811,"PSMA2"
"HCK",0.410502540937324,"HCK"
"LCK",0.803310613437196,"LCK"
"FBXO22",0.127433337148089,"FBXO22"
"FCGRT",0.6625568255819,"FCGRT"
"GATAD2B",0.697742117374182,"GATAD2B"
"ITGB8",0.474821109123435,"ITGB8"
"RECQL",0.50963213935146,"RECQL"
"CYC1",0.453182187253076,"CYC1"
"THUMPD3",0.235245478691908,"THUMPD3"
"TTYH3",0.499901416476913,"TTYH3"
"FTSJ3",0.398734344115295,"FTSJ3"
"HYOU1",0.643505625512194,"HYOU1"
"CDK9",0.0951274906643102,"CDK9"
"STK24",0.420608630059902,"STK24"
"LYN",0.602259927226178,"LYN"
"NDUFS3",0.0114508985999037,"NDUFS3"
"CEBPB",0.600660157426702,"CEBPB"
"SATB2",0.329869186046512,"SATB2"
"METTL1",0.246099390453927,"METTL1"
"TCOF1",0.478249561113901,"TCOF1"
"LPCAT1",0.694917378778914,"LPCAT1"
"ACIN1",0.352246232478721,"ACIN1"
"SHPK",0.386889301175015,"SHPK"
"ARID3A",0.620985821592071,"ARID3A"
"DDX27",0.459963245607178,"DDX27"
"NPTN",0.606442843201431,"NPTN"
"NR0B1",0.784178321678322,"NR0B1"
"CORO1A",0.850287976857502,"CORO1A"
"GCDH",0.485464602082958,"GCDH"
"PPA1",0.550909429517612,"PPA1"
"NONO",0.495231724996223,"NONO"
"SLC27A3",0.474715084884576,"SLC27A3"
"NUP214",0.305750259324563,"NUP214"
"DDOST",0.508107909363103,"DDOST"
"PDK3",0.467218033464514,"PDK3"
"COL6A3",0.256786593679412,"COL6A3"
"UBAP2",0.392256525995527,"UBAP2"
"MEPCE",0.408399061325241,"MEPCE"
"MEAF6",0.240021139599219,"MEAF6"
"FOXP1",0.43118494408817,"FOXP1"
"NUP155",0.279911431893651,"NUP155"
"SPON1",0.515156794425087,"SPON1"
"PYM1",0.590030072261935,"PYM1"
"CCNA2",0.445570153210401,"CCNA2"
"SON",0.0990949059061864,"SON"
"PHF23",0.264224066416782,"PHF23"
"SLC19A1",0.236968277664183,"SLC19A1"
"BCR",0.430060654244853,"BCR"
"TALDO1",0.516335284799091,"TALDO1"
"UROD",0.503479075265091,"UROD"
"TRA2B",0.088575549466309,"TRA2B"
"ALDOA",0.332553378044425,"ALDOA"
"SOX10",0.0325007708911502,"SOX10"
"KATNA1",0.172808332675767,"KATNA1"
"NFYC",0.296219508818492,"NFYC"
"ETFDH",0.294048615689269,"ETFDH"
"RPL32",0.207966848206559,"RPL32"
"HKDC1",0.673664948040499,"HKDC1"
"HK1",0.772148640273713,"HK1"
"HK2",0.517346860743573,"HK2"
"LAMB2",0.430979414283846,"LAMB2"
"DICER1",0.410513655944545,"DICER1"
"HSPBP1",0.342873999549596,"HSPBP1"
"REPS1",0.495909686730882,"REPS1"
"ALDH3B1",0.518617409291217,"ALDH3B1"
"F8A1",0.106525962910763,"F8A1"
"NCLN",0.268173491389825,"NCLN"
"SH2B2",0.462096774193548,"SH2B2"
"PHB2",0.124204262205774,"PHB2"
"LAMB1",0.70643032309294,"LAMB1"
"ZNF428",0.562250713971184,"ZNF428"
"CSNK1A1",0.33319597465522,"CSNK1A1"
"PBRM1",0.307493164072213,"PBRM1"
"FAM162A",0.576055300436566,"FAM162A"
"HMGCL",0.513265082427645,"HMGCL"
"ADAM15",0.455395498134048,"ADAM15"
"NSF",0.710694074040572,"NSF"
"FRYL",0.171457489878543,"FRYL"
"CCDC50",0.589317431513963,"CCDC50"
"TTI2",0.544117647058823,"TTI2"
"FUBP3",0.710927538841392,"FUBP3"
"PEX11B",0.362902391841572,"PEX11B"
"TIGAR",0.573872672197836,"TIGAR"
"EIF4B",0.413810117993017,"EIF4B"
"ALDH1A1",0.805577041191677,"ALDH1A1"
"AGPS",0.559328295561608,"AGPS"
"ACOT7",0.601291302125641,"ACOT7"
"DDRGK1",0.309368642927819,"DDRGK1"
"TUBGCP2",0.203238304864995,"TUBGCP2"
"MANF",0.531976134998743,"MANF"
"LAMA3",0.556581181385839,"LAMA3"
"PRKAR2A",0.687750211176457,"PRKAR2A"
"CHAMP1",0.536181887202,"CHAMP1"
